"국가별",2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023
"아시아",,,,,,,,,,,
"대한민국",3.1,3.0,2.9,2.8,2.7,2.7,2.6,2.5,2.4,2.3,2.2
"이스라엘",3.2,3.2,3.3,3.2,3.2,3.3,3.3,3.2,3.0,2.9,2.8
"일본",2.1,2.1,2.0,2.0,1.8,1.9,1.9,1.8,1.8,1.7,1.6
"튀르키예",12.5,11.7,11.0,10.4,9.7,9.1,8.6,8.1,7.7,7.7,7.5
"북아메리카",,,,,,,,,,,
"캐나다",4.9,4.7,4.5,4.5,4.5,4.6,4.4,4.3,4.3,3.9,3.8
"멕시코",14.6,14.2,13.7,13.3,12.8,12.4,12.0,11.6,11.3,10.9,10.5
"미국",5.9,5.8,5.9,5.8,5.7,5.6,5.5,5.5,5.4,5.0,4.9
"남아메리카",,,,,,,,,,,
"칠레",6.6,7.2,6.8,6.7,6.6,6.7,6.6,5.0,4.7,4.9,5.6
"콜롬비아",14.0,13.6,13.2,12.7,12.4,12.0,11.6,11.2,10.9,10.9,10.4
"코스타리카",8.2,8.0,7.8,7.6,7.4,7.2,7.0,6.8,6.5,6.8,6.3
"유럽",,,,,,,,,,,
"오스트리아",3.1,3.1,3.1,3.2,2.9,2.7,3.0,2.9,2.9,2.5,2.4
"벨기에",3.4,3.4,3.2,3.2,3.6,3.7,3.6,3.2,3.5,2.9,2.8
"체코",2.5,2.4,2.5,2.8,2.7,2.5,2.5,2.5,2.4,2.4,2.2
"덴마크",3.4,4.0,3.7,3.2,3.7,3.6,2.9,3.1,2.9,2.9,2.9
"에스토니아",2.6,3.1,2.8,2.7,2.6,1.8,1.6,1.5,1.4,1.8,1.7
"핀란드",1.6,2.2,1.7,1.9,2.0,2.0,2.0,1.8,1.9,1.6,1.6
"프랑스",3.6,3.5,3.6,3.6,3.8,3.8,3.7,3.7,3.6,3.3,3.2
"독일",3.3,3.3,3.3,3.5,3.2,3.2,3.2,3.1,3.1,3.0,2.6
"그리스",3.6,3.7,3.8,3.8,3.8,3.7,3.6,3.6,3.5,3.4,3.0
"헝가리",5.1,4.6,4.1,4.0,3.5,3.2,3.6,3.4,3.4,3.3,3.0
"아이슬란드",2.5,2.0,2.0,1.2,2.7,1.7,1.3,1.2,1.0,1.4,1.4
"아일랜드",3.6,3.4,3.5,3.1,2.8,2.7,2.6,2.6,2.5,2.5,2.4
"이탈리아",2.9,2.8,2.9,2.8,2.9,2.8,2.4,2.3,2.3,2.1,2.1
"라트비아",4.1,3.7,4.0,3.7,3.7,2.9,3.2,3.2,3.1,2.8,2.8
"리투아니아",3.6,4.0,4.0,4.1,2.8,3.2,3.2,2.7,3.0,2.8,2.6
"룩셈부르크",4.4,3.1,2.5,3.8,3.1,4.1,4.4,4.4,4.5,3.1,3.0
"네덜란드",3.7,3.6,3.2,3.5,3.5,3.4,3.6,3.6,3.5,3.0,2.9
"노르웨이",2.4,2.4,2.3,2.1,2.2,2.3,2.1,1.7,2.0,1.9,1.8
"폴란드",4.6,4.3,4.0,4.1,4.1,3.8,3.8,3.6,3.5,3.4,3.3
"포르투갈",2.8,2.9,3.0,3.2,2.6,3.3,2.8,2.4,2.7,2.4,2.3
"슬로바키아",5.4,5.7,5.1,5.4,4.5,4.9,5.0,4.9,4.8,4.7,4.0
"슬로베니아",2.6,1.8,1.7,2.0,1.9,1.7,2.1,2.0,1.9,1.4,1.4
"스페인",2.6,2.8,2.6,2.6,2.7,2.6,2.6,2.5,2.5,2.2,2.1
"스웨덴",2.7,2.2,2.4,2.5,2.4,2.0,2.0,2.3,1.9,1.8,1.8
"스위스",4.0,4.1,4.0,3.6,3.6,3.3,3.3,3.7,3.2,3.1,3.0
"영국",3.8,3.8,3.9,3.8,3.9,3.8,3.8,3.7,3.6,3.2,3.1
"오세아니아",,,,,,,,,,,
"오스트레일리아",3.6,3.4,3.1,3.0,3.3,3.1,3.0,2.9,2.9,2.8,2.7
"뉴질랜드",4.3,4.7,4.5,3.9,3.6,4.0,3.8,3.8,4.0,3.5,3.4
